model-1588398392,1588398392.725,0.52,0.2499,0.52,0.2517
model-1588398392,1588398392.752,0.6,0.2408,0.48,0.3256
model-1588398392,1588398392.778,0.41,0.364,0.44,0.2689
model-1588398392,1588398392.803,0.52,0.2534,0.47,0.251
model-1588398392,1588398392.832,0.55,0.2479,0.55,0.2494
model-1588398392,1588398392.858,0.4,0.2516,0.46,0.2499
model-1588398392,1588398392.885,0.5,0.2501,0.38,0.2521
model-1588398392,1588398392.913,0.48,0.2506,0.45,0.2514
model-1588398392,1588398392.944,0.53,0.2495,0.53,0.2497
model-1588398392,1588398392.975,0.45,0.2513,0.43,0.2515
model-1588398392,1588398393.005,0.51,0.2499,0.51,0.25
model-1588398392,1588398393.03,0.54,0.2495,0.5,0.2501
model-1588398392,1588398393.061,0.55,0.2492,0.54,0.2492
model-1588398392,1588398393.087,0.53,0.2494,0.45,0.2515
model-1588398392,1588398393.113,0.5,0.2501,0.51,0.2499
model-1588398392,1588398393.143,0.55,0.2487,0.5,0.2503
model-1588398392,1588398393.172,0.57,0.2477,0.46,0.2522
model-1588398392,1588398393.198,0.49,0.2509,0.5,0.2507
model-1588398392,1588398393.225,0.5,0.2505,0.52,0.2493
model-1588398392,1588398393.251,0.53,0.2486,0.49,0.2506
model-1588398392,1588398393.283,0.47,0.2506,0.47,0.252
model-1588398392,1588398393.309,0.47,0.2504,0.48,0.2504
model-1588398392,1588398393.336,0.53,0.2493,0.45,0.2517
model-1588398392,1588398393.362,0.46,0.2503,0.53,0.245
model-1588398392,1588398393.39,0.42,0.2543,0.51,0.2515
model-1588398392,1588398393.417,0.61,0.2431,0.48,0.2509
model-1588398392,1588398393.444,0.52,0.2484,0.48,0.2485
model-1588398392,1588398393.474,0.5,0.2478,0.6,0.2413
model-1588398392,1588398393.504,0.5,0.2478,0.52,0.2464
model-1588398392,1588398393.532,0.52,0.2488,0.58,0.2437
model-1588398392,1588398393.559,0.49,0.2496,0.54,0.2455
model-1588398392,1588398393.586,0.52,0.2497,0.52,0.2492
model-1588398392,1588398393.615,0.47,0.2536,0.56,0.2376
model-1588398392,1588398393.642,0.52,0.2475,0.56,0.2486
model-1588398392,1588398393.668,0.56,0.246,0.56,0.2517
model-1588398392,1588398393.695,0.59,0.2464,0.56,0.2465
model-1588398392,1588398393.724,0.51,0.2463,0.49,0.2402
model-1588398392,1588398393.751,0.59,0.2434,0.59,0.2484
model-1588398392,1588398393.777,0.57,0.2459,0.58,0.2467
model-1588398392,1588398393.804,0.56,0.2393,0.5,0.2505
model-1588398392,1588398393.833,0.56,0.2397,0.55,0.2446
model-1588398392,1588398393.86,0.51,0.2484,0.55,0.2413
model-1588398392,1588398393.886,0.58,0.24,0.56,0.2382
model-1588398392,1588398393.913,0.59,0.2276,0.49,0.259
model-1588398392,1588398393.951,0.52,0.2441,0.52,0.237
model-1588398392,1588398393.983,0.58,0.2303,0.52,0.2512
model-1588398392,1588398394.013,0.61,0.238,0.55,0.2519
model-1588398392,1588398394.041,0.49,0.256,0.52,0.2653
model-1588398392,1588398394.071,0.55,0.2437,0.6,0.2365
model-1588398392,1588398394.098,0.59,0.2436,0.54,0.2467
model-1588398392,1588398394.125,0.47,0.2583,0.6,0.2434
model-1588398392,1588398394.151,0.53,0.2477,0.51,0.2455
